place_id,city,title,rating,reviews,description,tips,address,timings,ticket_price,avg_ticket_price
56,cairo,Wekalet El Ghouri Arts Center,4.0,10.0,"Wekalet El Ghouri Arts Center in Cairo is a wonderful place to pay a visit. It is a place where you can relive history. Visiting this art centre can be a pleasant and good experience in your trip. The dancers wear colourful costumes. The way the dancers move during their performance makes their costume move and create a wave around them. The location of the place is mesmerizing. The extravagant Arabic architecture with great lighting makes it even more attractive. The overall ambience of the place is attractive to tourists. You will get a proper essence of Egyptian culture once you go inside.
More about Cairo","Rented car
By Taxi","3 Mohamed Abdo Street, Off Al Azhar street, Al Dar Al Ahmar, Cairo Governorate 12411, Egypt",10:00 am - 10:00 pm,,40.0
57,cairo,Al-azhar Park,4.0,5.0,"If you are wondering about a beautiful place to spend some quality time with your loved ones, then Al-azhar Park is the best option right at the heart of the city. It is one of the 6 best public places in the world and is well-renowned for its beauty. There is a beautiful castle inside the park which attracts the kids. The restaurant inside the park offers food at a pocket-friendly price. The lawn in the garden is a perfect place for photo shoots and other social gatherings. The lake restaurant and the open-air theatre are the best attractions of Al-azhar Park at night.
Rented car/Taxi",Rented car/Taxi,"Salah Salem St, El-Darb El-Ahmar, Cairo Governorate, Egypt",No timings,,40.0
58,cairo,Al-hussein Mosque,4.0,3.0,"The Al-Hussein Mosque has all the qualities that can startle the tourists. The appearance of this mosque is charming indeed and you will find its shape charming. The mosque is pretty old and originally, it got established in the year 1154. As one of the most sacred Islamic religious institutions also, this mosque is internationally renowned. In 19th century, the structure got revamped and hence, you can observe strong hints of Gothic Revival architecture in the structure of the building. The mausoleum of the mosque complex is believed to be present here from the original construction period of the mosque. You can visit Al-Hussein Mosque with your loved ones not only to witness history but to offer a prayer as well.
Rented car / taxi",Rented car / taxi,"36 Al-Mashhad Al-Husseini، El-Gamaleya, Qism El-Gamaleya, Cairo Governorate, Egypt",No timings,,40.0
59,cairo,Wekalet El Ghoury,4.0,2.0,"Traditional art along with Egyptian theatre shows- if this is what you want to see, then Wekalet El Ghoury is the place where you must come with your family. This place is highly recommended among the locals if you want something different at the end of the day. The artists, dancers and the musicians are highly trained to perform the Tanours shows. You will love the Sufi and folk music on the weekends after 7 pm in the Wekalet El Ghoury at an affordable price. The visitors love the colorful and other vibrant performance in this theatre.
Rented car/Taxi",Rented car/Taxi,"3 Mohamed Abdo Street, Off Al Azhar street, Al Dar Al Ahmar, Cairo Governorate 12411, Egypt",12:01 am - 12:00 am,,40.0
60,cairo,Giza Plateau,4.0,3.0,"Desert climate and well-distributed vegetation if this is what you are looking for in Cairo then Giza Plateau is the place you must come. You will find many tombs scattered here and there. It is advisable to hire a guide and know more about the Sphinx and history related to the large structures. You will be delighted to see the Khufu's pyramid in the northern part of the Giza Plateau. It is a hundred feet tall and the space between the feet is about 35 feet. You must also visit the grand Egyptian museum here beside the pyramid of Menkaura.
Rented car/Taxi",Rented car/Taxi,"Giza Plateau, Nazlet El-Semman, Al Haram, Giza Governorate, Egypt, Cairo",No timings,,40.0
61,cairo,Citadel El Ainy,4.0,1.0,"If you are looking to get rid of your monotonous schedule and looking for a perfect site in the heart of the city, then Citadel El Ainy is the right place for you. It is a world heritage site and is famous for offering grand views of the city amidst cool and nice breeze. There are 3 beautiful mosques here with Islamic architecture all around the place. The visitors will be delighted to see the collection of royal carriages and other military items in the Egyptian military museum. Citadel El Ainy will not disappoint you with its collections.
Rented car/Taxi",Rented car/Taxi,"Al Eini, El-SayedaZainab, Cairo Governorate, Egypt",No timings,,40.0
62,cairo,Salah El Din Al Ayouby Citadel,4.0,38.0,No description,No tips,No address,No timings,,40.0
63,cairo,Hotel Novotel Cairo El Borg,4.0,24.0,No description,No tips,No address,No timings,,40.0
64,cairo,Cairo City Center Hotel,3.0,16.0,No description,No tips,No address,No timings,,40.0
65,cairo,Cairo Down Town Hotel,4.0,2.0,No description,No tips,No address,No timings,,40.0
66,cairo,Grand Royal,3.0,1.0,No description,No tips,No address,No timings,,40.0
67,cairo,Ramses Hilton,4.0,3.0,No description,No tips,No address,No timings,,40.0
68,cairo,Stavolta,4.0,,No description,No tips,No address,No timings,,40.0
69,cairo,Tolip El Galaa Cairo Hotel,4.0,7.0,No description,No tips,No address,No timings,,40.0
70,cairo,Eish   Malh,4.0,1.0,No description,No tips,No address,No timings,,40.0
71,cairo,Sequoia,4.0,1.0,No description,No tips,No address,No timings,,40.0
72,cairo,Felucca Ride,4.0,4.0,No description,No tips,No address,No timings,,40.0
73,cairo,La Chesa,4.0,1.0,No description,No tips,No address,No timings,,40.0
74,cairo,Metro Market,4.0,3.0,No description,No tips,No address,No timings,,40.0
75,cairo,El-fishawi,4.0,4.0,No description,No tips,No address,No timings,,40.0
76,cairo,Fatatri El Tahrir,3.0,1.0,No description,No tips,No address,No timings,,40.0
77,cairo,Cafe Riche,3.0,1.0,No description,No tips,No address,No timings,,40.0
78,cairo,Pane Vino,4.0,,No description,No tips,No address,No timings,,40.0
79,cairo,Khan El-khalili,4.0,3.0,No description,No tips,No address,No timings,,40.0
80,cairo,Modern House,5.0,5.0,No description,No tips,No address,No timings,,40.0
81,cairo,Valley Temple Of Khafre,4.0,4.0,No description,No tips,No address,No timings,,40.0
82,cairo,Saqqara,4.0,12.0,No description,No tips,No address,No timings,,40.0
83,cairo,Cairo Day Tours,4.0,,No description,No tips,No address,No timings,,40.0
84,cairo,Meidum Pyramid,4.0,5.0,No description,No tips,No address,No timings,,40.0
85,cairo,Anba Bishoy Monastery,4.0,,No description,No tips,No address,No timings,,40.0
86,cairo,"The Nile Ritz Carlton Hotel, Cairo , Commercial Annex",4.0,11.0,No description,No tips,No address,No timings,,40.0
87,cairo,The Platform,4.0,,No description,No tips,No address,No timings,,40.0
88,cairo,Downtown Cairo District Presidency,3.0,1.0,No description,No tips,No address,No timings,,40.0
89,cairo,Renaissance Cairo Mirage City Hotel,4.0,25.0,No description,No tips,No address,No timings,,40.0
90,cairo,Panorama October War,4.0,1.0,No description,No tips,No address,No timings,,40.0
91,cairo,Ismailia House Hotel Egypt,3.0,3.0,No description,No tips,No address,No timings,,40.0
92,cairo,Museum Of Islamic Art Cairo,4.0,5.0,No description,No tips,No address,No timings,,40.0
93,cairo,Umm Kolthoum Museum,4.0,4.0,No description,No tips,No address,No timings,,40.0
94,cairo,El Rahman El Rahem Mosque,4.0,,No description,No tips,No address,No timings,,40.0
95,cairo,The Courtyard Maadi,4.0,11.0,No description,No tips,No address,No timings,,40.0
96,cairo,St. Mark's Coptic Orthodox Cathedral,4.0,3.0,No description,No tips,No address,No timings,,40.0
97,cairo,Saint Samaan The Tanner Monastery,4.0,2.0,No description,No tips,No address,No timings,,40.0
98,cairo,Panorama Hotel,4.0,43.0,No description,No tips,No address,No timings,,40.0
99,cairo,Pyramids Inn Motel,3.0,2.0,No description,No tips,No address,No timings,,40.0
100,cairo,Nubian Hostel,4.0,,No description,No tips,No address,No timings,,40.0
101,cairo,Fortress Of Babylon,,,No description,No tips,No address,No timings,,40.0
102,cairo,Foustat Traditional Crafts Center,4.0,,No description,No tips,No address,No timings,,40.0
103,cairo,Tahrir Plaza Suites,4.0,,No description,No tips,No address,No timings,,40.0
104,cairo,Intercontneintal Hotel Entrance,,,No description,No tips,No address,No timings,,40.0
105,cairo,Osiris Hall,4.0,23.0,No description,No tips,No address,No timings,,40.0
106,cairo,Khan El Khalili Bazaar,,,No description,No tips,No address,No timings,,40.0
107,cairo,Ramses Ii Statue,,,No description,No tips,No address,No timings,,40.0
108,cairo,Al Kazaz,,,No description,No tips,No address,No timings,,40.0
109,cairo,Om Hassan,,,No description,No tips,No address,No timings,,40.0
110,cairo,El-dawar,,,No description,No tips,No address,No timings,,40.0
111,cairo,Novotel Cairo Airport,,,No description,No tips,No address,No timings,,40.0
112,cairo,Felfela,3.0,5.0,"Founded by A. Zaghloul in 1959, in the heart of the greater Cairo, Felfela has become one of the most iconic restaurants in Egypt. Felfela is the first restaurant to promote the Egyptian and the Mediterranean cuisine inside and outside of Egypt. With its very authentic decoration, Felfela offers a unique experience and not just a place to eat. Only in our restaurant, you can feel the originality of the typical oriental decoration that symbolizes the traditions of the Egyptian society. Perfection and excellence is our trademark. Do not miss the opportunity to live this unique experience !
Felfela is a renowned restaurant in Cairo, Egypt. It used to be a private retreat of the Felfela owners. The Felfela village was made open to the public in the year 1974. You will find the atmosphere here to be traditional and countryside in nature. Their menu is one of a kind and include many well-known culinary delights. Some of the dishes that you will find at Felfela are not easily available in Cairo, like baked rice tagines and slow cooked lamb shoulder.",Rented car or taxi,"15, Hoda Shaarawy, Downtown, Cairo, Egypt",09:00 am - 11:59 pm,,40.0
113,cairo,Red Pyramid,,,No description,No tips,No address,No timings,,40.0
114,cairo,Pyramid Of Djoser,,,No description,No tips,No address,No timings,,40.0
115,cairo,Hawaray,5.0,,No description,No tips,No address,No timings,,40.0
116,cairo,Mena House Hotel (formerly Mena House Oberoi),,,No description,No tips,No address,No timings,,40.0
117,cairo,13 Meret Basha,,,No description,No tips,No address,No timings,,40.0
118,cairo,Nilometer,4.0,4.0,"If you are looking for historical information about the local art and paintings, then Nilometer is the place of your interest. This historical landmark was basically built to measure the level of river Nile during the annual flood seasons. You will not find a better place to enjoy the sunset and clicking nice pictures on the bank of the river Nile. It is a nice place to come for a picnic too as there are plenty of trees to save you from the typical Cairo weather alongside two beautiful cafes. There is a beautiful museum in the Nilometer filled with local artefacts.
Rented car/Taxi",Rented car/Taxi,"Al Saleh St., 2 Abd El-Malek Ln, Al Manial, Giza Governorate 11518, Egypt, Cairo",09:00 am - 03:00 pm,,40.0
119,cairo,Al Gameya Al Shareia,,,No description,No tips,No address,No timings,,40.0
120,cairo,Ankh Amoun,,,No description,No tips,No address,No timings,,40.0
121,cairo,Amir Taz Palace,,,No description,No tips,No address,No timings,,40.0
122,cairo,Movenpick Hotel & Casino Cairo-media City,4.0,4.0,No description,No tips,No address,No timings,,40.0
123,cairo,Nazlet El-semman,,,No description,No tips,No address,No timings,,40.0
124,cairo,Cairo Marriott Hotel & Omar Khayyam Casino,4.0,,No description,No tips,No address,No timings,,40.0
125,cairo,Pyramids View Inn,,,No description,No tips,No address,No timings,,40.0
126,cairo,City View Hotel,,,No description,No tips,No address,No timings,,40.0
127,cairo,Grand Pyramids Hotel,,,No description,No tips,No address,No timings,,40.0
128,cairo,New City Hotel,,,No description,No tips,No address,No timings,,40.0
129,cairo,Four Seasons Hotel Cairo At Nile Plaza,,,No description,No tips,No address,No timings,,40.0
130,cairo,Pyramids Park Resort Hotel,,,No description,No tips,No address,No timings,,40.0
131,cairo,Pyramid Of Teti,,,No description,No tips,No address,No timings,,40.0
132,cairo,Pyramid Of Amenemhat I,,,No description,No tips,No address,No timings,,40.0
133,cairo,Pyramid Of Sahure,,,No description,No tips,No address,No timings,,40.0
134,cairo,Masjid Al-aqmar,,,No description,No tips,No address,No timings,,40.0
135,cairo,Old Cairo Bazaar,,,No description,No tips,No address,No timings,,40.0
136,cairo,Mastaba De Mereruka,,,No description,No tips,No address,No timings,,40.0
137,cairo,Bab Al-futuh,,,No description,No tips,No address,No timings,,40.0
138,cairo,Al Fishawi Cafe,,,No description,No tips,No address,No timings,,40.0
139,cairo,Saint Barphara Church Complex,,,No description,No tips,No address,No timings,,40.0
140,cairo,Qalawun Complex,,,No description,No tips,No address,No timings,,40.0
141,cairo,Imam Hussein Square,,,No description,No tips,No address,No timings,,40.0
142,cairo,El Fishawi,,,No description,No tips,No address,No timings,,40.0
143,cairo,Tent Center,,,No description,No tips,No address,No timings,,40.0
144,cairo,Madrasa And Dome Of Sultan Al-nassir Mohammed Ibn Qalawun,,,No description,No tips,No address,No timings,,40.0
145,cairo,Egypt Museum,,,No description,No tips,No address,No timings,,40.0
146,cairo,Mosque Of Amir Al-maridani,,,No description,No tips,No address,No timings,,40.0
147,cairo,Wisma Pahang Awal Sabie,,,No description,No tips,No address,No timings,,40.0
148,cairo,"St. Simon ""the Tanner"" Monastery",,,No description,No tips,No address,No timings,,40.0
149,cairo,Zuwayla Gate,,,No description,No tips,No address,No timings,,40.0
150,cairo,Fazaa,,,No description,No tips,No address,No timings,,40.0
151,cairo,Ramsis Railways Station,,,No description,No tips,No address,No timings,,40.0
152,cairo,Alexandria,,,No description,No tips,No address,No timings,,40.0
153,cairo,El Rehab 2 125 Group,,,No description,No tips,No address,No timings,,40.0
154,cairo,Venus Hotel,,,No description,No tips,No address,No timings,,40.0
155,cairo,Venus Hostel,,,No description,No tips,No address,No timings,,40.0
156,cairo,White Desert Egypt,,,No description,No tips,No address,No timings,,40.0
157,cairo,Tolip Hotel Aswan,,,No description,No tips,No address,No timings,,40.0
158,cairo,El-rehab Extension,,,No description,No tips,No address,No timings,,40.0
159,luxor,Karnak Temple,3.0,1950.0,"Situated along the banks of the Nile River, the Karnak Temple is everything  you can imagine. Dedicated to the Egyptian Gods Amun, Mut and Khonsu, the Temple is spread over some 200 acres and has designated sacred areas for each of the three Gods. The huge premises actually plays host to a large collection of small temples and statues rife with symbolism and illusions-legend has it that every ruler of Egypt contributed to the Temple we know it today by building a temple, statue, etc. Right from the statues that greet you at the entrance to the grand 134 columns hypostyle hall, the Karnak Temple will one of the many jaw dropping things you’ll see in Egypt.
be decently dressed when you visit temples
cover your head with scarf 
avoid carring any alcoholic drink with yourself","be decently dressed when you visit temples
cover your head with scarf 
avoid carring any alcoholic drink with yourself","Karnak Temple , Luxor, Egypt",06:00 am - 04:30 pm,10.0,10.0
160,luxor,Valley Of The Kings,4.0,601.0,"Anywhere you look in Egyptology, you’ll come across the concept of afterlife- the journey of the soul from one world to another! That’s one of the reasons they’re mummification process was so exact and precise. The Valley of the Kings is essentially a burial ground. All the kings and pharaohs of Egypt of the New Kingdom period were buried there with all the possessions they could possibly need in their journey to the afterlife. With over 63 tombs, each tomb is different from the others; the murals lining the walls, the embellishments on the actual coffin/casket couldn’t be any more different.
The entrance ticket you buy covers only three tombs, so choose wisely.
If you want to see Tutankhamun’s Tomb, you’ll have to pay for that separately.
The desert sun can be brutal even during the winter. Carry a hat and a bottle of water with you.","The entrance ticket you buy covers only three tombs, so choose wisely.
If you want to see Tutankhamun’s Tomb, you’ll have to pay for that separately.
The desert sun can be brutal even during the winter. Carry a hat and a bottle of water with you.","West Bank of the Nile River, Luxor, Egypt",06:00 am - 04:00 pm,13.0,13.0
161,luxor,Temple Of Hatshepsut,4.0,1426.0,"Surrounded by steep and rugged limestone cliffs, the Temple of Hatshepsut is named after its creator. Although there have been many queens in Egypt, there have been none like Queen Hatshepsut. While all other monuments bearing her name or statue were defaced, this one Temple has stood the test of time and contains all the aspects of a memorial temple. The Temple is designed over three terraces that rise above each other. The entrance to the Temple is through the court and a series of steps that lead to the first terrace. The preferred time to visit is before the afternoon sun sets in as it can pretty hot as the day progresses.
Corniche Restaurant (French cuisine)
JJ's Bar and Restaurant (English, Asian, Egyptian cuisine)
7 Days 7 Ways Restaurant & Royal Oak Pub (Family restaurant)","Corniche Restaurant (French cuisine)
JJ's Bar and Restaurant (English, Asian, Egyptian cuisine)
7 Days 7 Ways Restaurant & Royal Oak Pub (Family restaurant)","Street Deir al-Bahri, West Bank, Luxor, Egypt",06:00 am - 05:00 pm,5.0,5.0
162,luxor,Luxor Temple,4.0,1412.0,"Yet another temple dedicated to the Gods Amun, Mut and Khonsu, the Luxor Temple was especially built to celebrate the Opet Festival, which is where all three Gods come together in a reunion. Two pharaohs of the land are said to have contributed the most to the temple’s architecture are Amenhotep III and Ramses II; the collection of the latter’s statues stands testimony to his contribution. In the olden times, there used to a 3km line of Sphinxes that used to run from the Luxor Temple, all the way to the Karnak Temple. If you get a chance, catch the sound and light show held at the Temple after hours!
avoid bringing your tripod as you might be asked to pay extra fee for it
it is best to visit the temple at night
wear light clothes if you are visiting the place during daytime","avoid bringing your tripod as you might be asked to pay extra fee for it
it is best to visit the temple at night
wear light clothes if you are visiting the place during daytime","Kornish Al Nile, Luxor City, Luxor, Egypt",06:00 am - 09:00 pm,8.0,8.0
163,luxor,Luxor Museum,4.0,1547.0,"When you visit the Luxor Museum, don’t be disappointed by its size; it’s a lot smaller than the museum you’ll see in Cairo, but just as spectacular mind you! Catch the Wall of Akhenaten, which is made up of small blocks similar to those used in the Karnak Temple. It’s displayed as a tableau which is made from recycled rubble. The highlights of the museum can’t be ranked in order of preference or popularity but among the must see exhibits is the statue of Amenhotep III and the retrieved pieces from Tutankhamun’s tomb.
Last entry ticket is sold 30 minutes before the closing time
student concession is available by providing valid ID proof
Visitor's center, cafeteria, bookshps and library are available
Audio or personal guide is not provided
you can buy a catalogue having details of all the collection of the museum is available in the bookstore
The museum is wheel-chair accessible
Photography is strictly prohibited","Last entry ticket is sold 30 minutes before the closing time
student concession is available by providing valid ID proof
Visitor's center, cafeteria, bookshps and library are available
Audio or personal guide is not provided
you can buy a catalogue having details of all the collection of the museum is available in the bookstore
The museum is wheel-chair accessible
Photography is strictly prohibited","Corniche el Nil. East Bank, Luxor, Egypt",09:00 am - 10:00 pm,13.0,13.0
164,luxor,Medinet Habu,4.0,521.0,"Also known as the Mortuary Temple of Ramses III in English, this is a second huge temple complex after Karnak, in Egypt. However, information says it is the least visited destination whereas it does deserve attention. The great pharaohs of Egypt were buried in the Valley of Kings but mortuary temples were built in their honor. This memorial temple of Ramses III is one of them.
Highlighted features of the complex – the southeast corner from where you can get a perfect view of the entire complex; the Chapels of the Votaresses; Sacred Lake; Nilometer; the First Pylon; Royal Palace; the Second Pylon; Hypostyle Hall and so on.","50% reduction for bearers of International Student ID card
It is best to visit the place in the late afternoon","Luxor Governorate, Egypt",06:00 am - 05:00 pm,25.0,25.0
165,luxor,Tomb Of Tutankhamun,,,"Situated in the Valleys of the Kings, the Tomb of Tutankhamun was first discovered by Howard Carter and Lord Carnavon, in the year 1922. The boy pharaoh Tutankhamun’s mummy is said to be adorned with gold mask. Right now, the mummy is being kept in the Egyptian museum of Cairo. However, the mummy of King Tut, still resides within the tomb wrapped in a linen cloth and preserved in a glass box. Look around the wall to see some incredible colored wall paintings.
King Tut’s Tomb – 40E£",King Tut’s Tomb – 40E£,"Valley of the Kings, Luxor, Egypt",06:00 am - 05:00 pm,55.0,55.0
166,luxor,Avenue Of Sphinxes,,,"Located between Karnak temple complex and Luxor temple, Avenue of Sphinxes is the site where commercial processions were held. Though the site connects one of the oldest temples of Luxor, still the site belongs to 380 BC. It is around 2.7 kilometer long and has 1,350 sphinxes lining in it sides. The most famous Sphinx among the lot is the Great Sphinx at Giza. It has cat-life feature. The rest of the lot has rams head.
Hire a cab or ask any local to know about public transport .",Hire a cab or ask any local to know about public transport .,"Between the Karnak and Luxor temples,Luxor, Egypt",24-hrs,,13.0
167,luxor,Deir Al-medina,4.0,645.0,"Creating so many tombs and temples around the city was not an easy job. Huge groups of artisans worked and gave their best effort to build such awe-inspiring historical sites. However, these artisans required a place to settle down. That is how, the Valley of the Artisans or Deir al-Medina (as known in Arabic) was discovered. When visiting the attraction, there are innumerable features to look forward to.
The Tomb of Inherka that belonged to a 19th dynasty servant who worked in the Place of Truth, the Valley of the Kings. This one room tomb has a splendid wall painting. Next to it is the Tomb of Sennedjem (a 2 small chambered) and the temple of Pashedu are other important features of the valley.","50% reduction for bearers  of International Student ID Card
The entry fee includes admission to The Roman Temple, Tomb of Sennedjem, Tomb of Inherkau
Photography is strictly prohibited inside the tomb","New Valley Governorate, Egypt, Luxor",06:00 am - 07:00 pm,25.0,25.0
168,luxor,Sound And Light Show At Karnak,,,No description,No tips,No address,No timings,,13.0
169,luxor,Tombs Of The Nobles,,,"Scattered on the rocky hills on the West Bank of Luxor, the valley of the Nobles is located. The term noble was given to the as it was the burial ground of foremen, priests, soldiers, officials and princes. On this valley, you will get to see at least 400 tombs, divided into groups. Visit each group and you will get to see such beautifully decorated frescoes depicting the lifestyle of nobles. However, presently only few are open to public. Some of the popular ones among the lot are the tombs of Sennofer and the mayor of Thebes (modern-day Luxor).
Each group of tombs within the valley has separate admission fee
Sheikh Abd El-Gurna is a must visit attraction","Each group of tombs within the valley has separate admission fee
Sheikh Abd El-Gurna is a must visit attraction","West Bank near Ramesseum | Gurna, Luxor,Egypt",06:00 am - 05:00 pm,,13.0
170,luxor,Ramesseum Or Mortuary Temple Of Ramses I I,4.0,514.0,"One of the largest and best preserved temples of Luxor, this million year old mansion is located in the Theban necropolis in Upper Egypt, across the River Nile. History says the temple belonged to the great warrior king Ramesses II. A tour into the temple will let you get a glimpse of the fallen colossus that inspired Bysshe Shelleys to write the poem, Ozymandias. The first and second pylon depicts battle scenes from the Battle of Qadesh. Behind the pylon, the ruins of the huge court remain. The complex also includes the palace of the king, store rooms and granaries, built by mud brick.
The temple is open everyday.
50% reduction is given to the bearer of International Student ID Card.
There is rest house near the temple where you can stay.","The temple is open everyday.
50% reduction is given to the bearer of International Student ID Card.
There is rest house near the temple where you can stay.","West Bank, Luxor, Egypt",06:00 am - 06:00 pm,25.0,25.0
171,luxor,Karnak Open Air Museum,,,"Located in the extreme north-west corner of the Precinct of Amon-Re, within Karnak temple complex, this open air museum is situated. A tour within the entire museum will let you see a reconstructed structure of the already demolished dynasty. There are collection of stones, statues and shrines which you cannot give a miss. Other attractions include the White Chapel of Sesostris I, the Red Chapel of Hatsheput and the Alabaster Chapel of Amenhotep I.
It is best to visit the place during late afternoon.",It is best to visit the place during late afternoon.,"Karnak Temple, Luxor, Egypt",06:00 am - 04:30 pm,25.0,25.0
172,luxor,Temple Of Merenptah,,,No description,No tips,No address,No timings,,13.0
173,luxor,Temple Of Montu Enclosure,,,"Karnark Temple complex has four main temple enclosures and temple of Montu enclosure is one of them. History says, the temple is an Egyptian temple, dedicated to the worship of Monthu. The total area covered is said to be around 20,000 square meters.
Main attractions of the enclosure – the Temple of Montu, Temple of Harpre, Temple of Ma’at, a sacred lake and the Gateway of Ptolemy.","Try to visit the place in the late afternoon.
You don’t need to spend an extra day to visit this enclosure.","Nile Valley: Luxor , Egypt",24-hrs,,13.0
174,luxor,Abu Haggag Mosque,,,"Above the ruins of Luxor temple, nestled within the walls of Ramesses II court, stands Abu Haggag Mosque (Mosque of Abu Haggag) and is considered as the ancient center of worship during the reign of Pharaoh Amenhotep III. If you view the mosque from the tops of the architraves in the Colonnade Hall, it dominates the first court at Luxor temple. It is best to visit the mosque during any of the religious festivals of Muslim saints. Boats are paraded around the temple. You could hear the echo of the age old procession of the barks of Amun, Mut and Khonsu, especially during the Festival of Opet.
The mosque is open for the whole day, except during prayer times.
Women should wear a scarf.","The mosque is open for the whole day, except during prayer times.
Women should wear a scarf.","Abu pilgrims, Luxor, Egypt",24-hrs,,13.0
175,luxor,Colossi Of Memnon,4.0,820.0,"You know you’re in the West Bank area of Luxor when two statues, 60 ft high greet you! These two statues, or  the Colossi of Memnon as they’re called, were supposedly standing guard to the temple of Amenhotep III. In fact, it would have been the biggest temple complex had the Nile not washed it all down. Now it stands as a landmark on the side on the road, welcoming you to the West Bank.
Anyone who is familiar with Egypt would definitely know of this place. A popular landmark for visitors, the Colossi of Memnon are two manganous statues bespeaking of its now jaded glory and peerless past. Standing amidst the dry plains of desert, it can be visited anytime without any Colossi of Memnon Tickets or Colossi of Memnon Ticket Prices. Which, once again saves you a lot of effort with no lines to Buy Tickets for Colossi of Memnon or fretting over its Colossi of Memnon Ticket Costs. If you are one of those who are more inclined towards relics, the place with its rich history will charm you to the bits.","El Kababgy
Elnakhil (American, English & Egyptian cuisine)
Nile Flowers","West Bank, Luxor, Egypt",08:00 am - 07:00 pm,,13.0
176,luxor,Valley Of Queens,4.0,765.0,"Like the kings of the land, the leading ladies of Egypt too had their own burial ground, just as if not more spectacular than their male counterparts. Around 75 Queens of the 19th and 20th dynasties were buried here for their peaceful transition to the afterlife. Not all of them are open to tourists. In fact, till date only three tombs have been open to tourists, the tickets to which were sold faster than hot cakes. The notable burials here are of course the tombs of Nefertari, Amunherkhepshef, Khaemwaset and Titi.
Corniche Restaurant (French cuisine)
JJ's Bar and Restaurant (English, Asian, Egyptian cuisine)
7 Days 7 Ways Restaurant & Royal Oak Pub (Family restaurant)","Corniche Restaurant (French cuisine)
JJ's Bar and Restaurant (English, Asian, Egyptian cuisine)
7 Days 7 Ways Restaurant & Royal Oak Pub (Family restaurant)","West Bank of the Nile River, Luxor, Egypt",07:00 am - 05:00 pm,5.0,5.0
177,luxor,"Temple Of Horus, Edfu",4.0,463.0,No description,No tips,No address,No timings,,13.0
178,luxor,Temple Of Seti I,4.0,1170.0,"Set a little outside of the city, the Temple of Seti  is named in honour  of the ruler who started the construction of the temple but did not finish it. Not as frequented by tourists as the other temples, this temple is a little depleted and is used as a quarry by the local people. The walls of the ruined hypostyle hall still have retained some of their carvings showing both Ramses II and Seti I with the gods.
Love this? Explore the entire list of places to visit in Luxor before you plan your trip.","Temple Of Seti I Address: Naga Al Taref Inside Rd, Luxor, Egypt 
 Temple Of Seti I Timing: 07:00 am - 06:00 pm 
Temple Of Seti I Price: 5 USD 
Best time to visit Temple Of Seti I(preferred time): 07:00 am - 06:00 pm 
Time required to visit Temple Of Seti I: 02:00 Hrs 
Try the best online travel planner to plan your travel itinerary!","Naga Al Taref Inside Rd, Luxor, Egypt",07:00 am - 06:00 pm,5.0,5.0
179,luxor,Mummification Museum,4.0,834.0,"The deity associated with mummification, Anubis, greets you right at the entrance, kicking off the visit to a perfect authentic start. True to its name, the mummification museum displays mummies and even animals of the 21st dynasty. In addition to the many mummy displays, there’s also the paraphernalia used in the process of mummification.
The Mummification Museum in Luxor provides an insight into the world of mummification and how it was practiced in ancient Egypt. You can check out the devices used for the ceremonies and also various mummies kept on display. Mummification Museum ticket prices are provided on our ticketing portal along with combo offers on tickets for Mummification Museum Tours. It is better to purchase Mummification Museum tickets online than wait in long lines to get the same tickets. Buy tickets for Mummification Museum from our ticketing portal and avail exciting offers and discounts as well.","Corniche Restaurant (French cuisine)
Al-Sahaby Lane Restaurant (Egyptian cuisine)
JJ's Bar and Restaurant (English, Asian, Egyptian cuisine)","Corniche el Nil,East Bank, Luxor, Egypt",09:00 am - 08:00 pm,8.0,8.0
180,luxor,Tomb Of Pabasa,,,"If you are visiting Hatsheput’s temple, make it a point to visit this tomb. It is located just at the entrance of the Deir al-Bahri. History says, Pabasa (also known as Pabes) was the Chief Steward of the God’s Wife Nitocris. The walls of the tomb have drawings depicting wonderful scenes of agriculture, hunting and fishing style of those ages. The walls of the court Pabasa have scenes and long texts with painted hieroglyphs.
The entry  ticket is available at the ticket office of the Deir al-Bahri temple.
It is best to visit the place in late afternoon if you wish to avoid scorching heat of the sun.","The entry  ticket is available at the ticket office of the Deir al-Bahri temple.
It is best to visit the place in late afternoon if you wish to avoid scorching heat of the sun.","Nile Valley: Luxor , Egypt",06:00 am - 05:00 pm,,13.0
181,luxor,Dandarah And The Temple Of Hathor,4.0,186.0,"One of the ancient glories, still existing in pieces is Dendera. Located on the western shore of Nile, the primary attraction of this historical site is the Temple of Hathor. A closure look to the architectural design shows that the style is being followed of contemporary period with the life of Christ. One of the fascinating depictions on the walls is the scenes showing Cleopatra VII and her son, fathered by Julius Caesar.
The journey from the city to the place will take an hour.",The journey from the city to the place will take an hour.,"Qena, Qena Governorate, Egypt, Luxor",08:00 am - 05:00 pm,35.0,35.0
